pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
542.052809,393.798149,423.201370,524.403703,854.047115,406.371350,711.293966,554.553517
541.950000,393.970000,422.940000,523.990000,854.010000,406.020000,710.940000,555.040000
541.880000,393.940000,422.860000,523.960000,853.980000,406.000000,710.880000,555.090000
541.830000,393.900000,422.780000,523.950000,854.000000,406.000000,710.780000,555.130000
541.760000,393.870000,422.680000,523.930000,853.980000,406.030000,710.740000,555.170000
541.700000,393.840000,422.580000,523.910000,853.970000,406.020000,710.640000,555.240000
541.590000,393.840000,422.320000,523.960000,853.990000,406.000000,710.570000,555.260000
541.440000,393.840000,422.220000,523.930000,853.990000,405.980000,710.160000,555.290000
541.060000,393.910000,422.130000,523.910000,853.940000,406.000000,710.070000,555.260000
541.010000,393.890000,422.060000,523.870000,853.950000,405.980000,710.040000,555.180000
540.950000,393.840000,421.990000,523.840000,853.990000,406.000000,709.990000,555.110000
540.880000,393.810000,421.910000,523.780000,854.040000,406.010000,709.950000,555.020000
540.820000,393.770000,421.830000,523.770000,853.980000,406.030000,709.270144,553.804053
540.740000,393.740000,421.750000,523.710000,854.020000,405.990000,709.000000,553.920000
540.640000,393.730000,421.650000,523.640000,853.980000,406.010000,708.990000,553.870000
540.550000,393.710000,421.480000,523.670000,853.960000,406.010000,708.940000,553.720000
540.090000,393.860000,421.260000,523.680000,853.980000,405.980000,709.270144,553.429322
540.050000,393.810000,421.180000,523.610000,853.950000,406.010000,708.764188,553.804053
539.990000,393.770000,421.120000,523.540000,854.000000,405.980000,707.246321,554.178785
539.950000,393.740000,421.160000,523.100000,853.930000,405.990000,707.246321,551.930394
539.900000,393.680000,421.090000,523.040000,853.990000,406.020000,706.993343,551.180930
539.860000,393.640000,421.020000,522.990000,854.000000,406.020000,706.993343,551.180930
539.840000,393.580000,420.950000,522.930000,852.766415,404.790450,706.993343,551.180930
539.820000,393.530000,420.870000,522.890000,853.000000,404.950000,706.740365,551.555662
539.940000,393.200000,420.790000,522.810000,853.020000,404.960000,706.740365,551.555662
539.910000,393.160000,420.720000,522.760000,853.000000,404.950000,707.120000,551.730000
539.850000,393.150000,420.560000,522.730000,852.970000,404.960000,707.070000,551.150000
539.800000,393.130000,420.350000,522.740000,853.000000,404.950000,706.487388,550.806199
539.720000,393.110000,420.260000,522.680000,853.010000,404.970000,706.487388,549.307271
539.660000,393.090000,420.200000,522.600000,852.990000,404.970000,705.475476,547.433612
539.600000,393.070000,420.130000,522.500000,853.193315,402.261010,705.475476,547.433612
539.510000,393.080000,420.170000,522.060000,853.010000,402.030000,705.728454,546.309416
539.040000,393.220000,420.100000,521.990000,853.010000,402.000000,705.728454,546.309416
539.010000,393.200000,420.030000,521.930000,853.040000,402.030000,705.728454,545.934684
538.950000,393.160000,419.970000,521.850000,853.060000,402.030000,706.234410,545.185221
538.910000,393.130000,419.900000,521.770000,853.000000,402.010000,704.463565,544.810489
538.850000,393.130000,419.810000,521.690000,853.000000,402.000000,705.222498,544.061025
538.810000,393.090000,419.750000,521.540000,852.990000,401.980000,705.222498,542.936830
538.760000,393.080000,419.820000,521.060000,853.000000,401.990000,704.969521,542.562098
538.700000,393.050000,419.720000,521.010000,853.000000,402.000000,705.222498,542.562098
538.640000,393.040000,419.630000,520.940000,853.040000,401.990000,705.475476,541.437902
538.560000,393.030000,419.460000,520.940000,853.020000,401.970000,705.728454,539.938975
538.070000,393.150000,419.260000,520.940000,853.050000,402.000000,705.728454,539.938975
538.030000,393.130000,419.170000,520.900000,853.020000,402.000000,705.728454,539.938975
537.960000,393.120000,419.100000,520.830000,853.010000,402.020000,705.728454,539.564243
537.910000,393.070000,419.030000,520.760000,853.060000,401.960000,705.940000,539.110000
