pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
354.955199,677.753512,264.325534,650.004629,889.242365,663.734876,737.501731,571.179349
354.980000,678.020000,263.950000,650.090000,888.990000,664.000000,737.314552,570.347551
354.940000,678.050000,263.900000,650.190000,888.940000,664.000000,737.314552,570.347551
354.920000,678.050000,263.830000,650.330000,889.000000,664.040000,737.314552,570.347551
354.890000,678.070000,263.810000,650.620000,888.940000,664.050000,737.314552,570.347551
354.870000,678.070000,263.730000,650.890000,889.000000,664.000000,737.501731,571.179349
354.840000,678.090000,263.570000,650.950000,888.960000,664.050000,737.127372,571.179349
354.800000,678.110000,263.250000,650.940000,889.000000,664.050000,737.127372,571.179349
354.800000,678.130000,263.140000,651.020000,889.000000,664.020000,737.127372,571.179349
354.740000,678.160000,263.070000,651.120000,889.030000,664.010000,736.940192,572.011147
354.720000,678.160000,263.030000,651.230000,889.000000,664.020000,736.940192,572.011147
354.710000,678.160000,263.010000,651.400000,889.000000,664.000000,736.940192,572.011147
354.670000,678.190000,263.040000,651.810000,888.041709,666.224794,735.743526,574.293908
354.610000,678.220000,263.000000,651.940000,887.930000,666.040000,735.743526,574.293908
354.590000,678.240000,262.970000,652.030000,887.920000,666.060000,734.745234,574.293908
354.610000,678.210000,262.910000,652.120000,887.950000,666.030000,734.745234,574.293908
354.590000,678.210000,262.850000,652.220000,887.930000,666.040000,733.247797,574.293908
354.560000,678.230000,262.800000,652.420000,887.930000,666.080000,734.994807,573.924220
354.490000,678.270000,262.790000,652.820000,887.850000,666.070000,734.994807,573.924220
353.770000,678.730000,262.630000,652.890000,887.920000,666.070000,735.010000,574.020000
353.150000,679.320000,262.370000,652.880000,887.930000,666.070000,735.020000,574.040000
353.060000,679.910000,262.190000,652.940000,886.120658,668.003306,734.246089,574.293908
353.010000,679.940000,262.100000,653.040000,885.970000,668.020000,734.000000,574.010000
352.990000,679.970000,262.050000,653.130000,885.980000,668.020000,733.980000,574.030000
352.940000,679.980000,262.010000,653.230000,886.000000,668.020000,734.495661,575.033285
