pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
354.716071,366.948478,259.611777,479.743135,726.617270,287.044322,609.841970,471.833160
354.990000,367.000000,260.010000,480.010000,727.010000,287.020000,610.397044,473.439189
354.980000,366.990000,260.000000,480.030000,727.020000,287.000000,610.220000,473.430000
354.970000,366.990000,260.000000,480.050000,727.010000,286.980000,610.860000,474.090000
354.970000,367.000000,260.000000,480.060000,727.000000,287.040000,610.830000,474.930000
354.960000,366.990000,259.990000,480.080000,727.000000,286.990000,610.870000,475.810000
354.970000,366.990000,260.000000,480.090000,727.020000,287.020000,611.507192,476.115904
354.960000,367.000000,260.000000,480.110000,727.030000,287.020000,612.120000,476.570000
354.960000,367.000000,260.000000,480.150000,727.050000,287.020000,611.507192,477.454261
354.950000,367.010000,260.000000,480.180000,726.990000,287.030000,611.322168,479.595633
354.940000,367.000000,260.010000,480.210000,727.020000,287.000000,611.130000,480.220000
354.930000,367.000000,260.010000,480.230000,727.030000,287.010000,612.617340,479.863305
354.920000,367.010000,260.010000,480.280000,727.020000,287.030000,613.250000,480.160000
354.900000,367.010000,260.010000,480.320000,727.010000,287.020000,613.320000,480.330000
354.900000,367.000000,260.000000,480.380000,727.030000,287.000000,612.432316,483.075363
354.900000,367.020000,259.990000,480.440000,727.040000,286.990000,612.140000,483.250000
354.880000,367.010000,259.980000,480.520000,726.990000,287.000000,611.692217,485.216735
354.880000,367.030000,259.880000,480.880000,727.010000,286.990000,612.100000,485.220000
354.880000,367.030000,259.880000,480.910000,726.990000,286.990000,612.062266,486.287421
354.870000,367.040000,259.890000,480.950000,727.000000,286.970000,612.110000,486.270000
354.870000,367.050000,259.900000,480.990000,726.960000,286.990000,612.240000,486.510000
354.860000,367.060000,259.890000,481.030000,726.990000,286.980000,612.987390,488.428793
354.840000,367.060000,259.900000,481.080000,726.980000,286.980000,613.220000,488.270000
354.830000,367.060000,259.890000,481.130000,727.000000,286.980000,613.680000,489.010000
354.830000,367.070000,259.880000,481.190000,727.070000,286.980000,613.930000,489.950000
354.820000,367.070000,259.890000,481.260000,727.000000,287.010000,613.542464,491.373179
354.810000,367.060000,259.890000,481.300000,726.960000,286.960000,614.030000,491.270000
354.790000,367.080000,259.900000,481.330000,726.980000,286.990000,614.170000,491.470000
354.770000,367.090000,259.880000,481.400000,726.329089,288.396688,612.987390,494.852909
354.760000,367.090000,259.880000,481.460000,726.030000,288.020000,612.987390,494.852909
354.750000,367.080000,259.720000,481.900000,726.020000,288.030000,613.120000,495.260000
354.740000,367.090000,259.750000,481.950000,726.040000,288.030000,613.357439,496.726609
354.720000,367.090000,259.730000,481.990000,726.020000,288.040000,612.802365,498.064967
354.730000,367.080000,259.770000,482.010000,726.070000,288.060000,612.617340,499.403324
354.680000,367.120000,259.770000,482.060000,726.070000,288.060000,612.617340,499.670996
354.690000,367.110000,259.780000,482.110000,726.070000,288.070000,612.617340,500.474010
354.670000,367.120000,259.800000,482.150000,726.070000,288.100000,612.802365,501.812368
354.640000,367.130000,259.820000,482.200000,726.050000,288.090000,612.987390,502.883054
354.650000,367.130000,259.810000,482.260000,726.050000,288.100000,612.987390,503.150725
354.620000,367.130000,259.820000,482.310000,729.787257,289.298265,612.987390,503.150725
354.600000,367.150000,259.840000,482.350000,730.030000,288.990000,612.617340,505.024426
354.570000,367.160000,259.850000,482.400000,730.040000,289.010000,613.542464,505.292097
354.550000,367.160000,259.880000,482.440000,730.030000,289.030000,613.990000,505.670000
354.550000,367.150000,259.860000,482.510000,730.000000,289.020000,613.542464,505.292097
354.530000,367.150000,259.600000,483.020000,730.010000,289.050000,612.802365,507.701141
354.530000,367.150000,259.140000,483.360000,730.000000,289.030000,612.802365,507.701141
354.470000,367.170000,258.980000,483.820000,729.980000,289.030000,612.802365,508.771827
354.160000,367.350000,258.990000,483.890000,730.000000,289.050000,613.357439,511.448542
354.150000,367.330000,258.990000,483.920000,730.040000,289.030000,613.357439,511.716213
354.140000,367.310000,258.990000,483.950000,730.050000,289.000000,613.110000,512.230000
354.120000,367.290000,259.000000,483.980000,730.030000,289.020000,612.617340,513.054571
354.110000,367.270000,259.000000,484.030000,730.050000,289.040000,613.060000,513.360000
354.100000,367.280000,259.010000,484.080000,730.040000,289.030000,613.090000,513.920000
354.090000,367.270000,259.010000,484.130000,730.040000,289.040000,613.727488,513.857585
354.070000,367.270000,259.010000,484.180000,730.040000,289.040000,614.050000,514.200000
354.080000,367.260000,259.000000,484.240000,730.020000,289.040000,613.542464,515.463614
354.060000,367.260000,259.010000,484.270000,730.030000,289.040000,612.802365,515.463614
354.060000,367.270000,259.010000,484.330000,730.010000,289.030000,614.282562,515.998957
354.040000,367.270000,258.990000,484.380000,730.020000,289.010000,613.727488,517.872658
354.020000,367.250000,258.980000,484.430000,730.030000,289.050000,614.060000,518.260000
354.010000,367.240000,258.970000,484.490000,730.050000,289.010000,613.172414,517.872658
353.990000,367.210000,258.820000,484.860000,730.000000,289.020000,613.070000,518.130000
353.990000,367.210000,258.830000,484.900000,730.020000,289.060000,613.090000,518.450000
353.970000,367.190000,258.820000,484.940000,730.030000,289.040000,613.172414,520.014030
353.960000,367.170000,258.820000,484.980000,730.010000,289.050000,613.050000,520.220000
353.950000,367.150000,258.830000,484.990000,729.990000,289.060000,613.000000,520.680000
353.940000,367.160000,258.830000,485.020000,730.010000,289.050000,612.960000,520.960000
353.920000,367.150000,258.820000,485.040000,730.000000,289.070000,612.802365,521.084716
353.910000,367.140000,258.820000,485.090000,729.980000,289.030000,613.080000,521.070000
353.910000,367.140000,258.810000,485.130000,730.000000,289.030000,613.140000,521.220000
353.880000,367.130000,258.800000,485.160000,730.020000,289.030000,613.070000,521.490000
353.870000,367.120000,258.810000,485.180000,730.020000,289.020000,612.247291,523.761431
353.880000,367.110000,258.810000,485.200000,730.000000,289.030000,611.970000,524.150000
353.860000,367.110000,258.810000,485.230000,729.990000,289.050000,611.930000,524.740000
353.830000,367.110000,258.820000,485.250000,730.020000,289.030000,611.920000,524.850000
353.830000,367.100000,258.820000,485.250000,730.040000,289.020000,611.890000,524.940000
353.800000,367.110000,258.810000,485.280000,730.020000,289.020000,610.767094,525.635131
353.810000,367.080000,258.800000,485.320000,730.000000,289.030000,610.900000,526.040000
353.800000,367.070000,258.800000,485.330000,729.990000,289.030000,610.930000,526.120000
353.790000,367.060000,258.800000,485.340000,730.000000,289.000000,610.900000,526.210000
353.760000,367.070000,258.790000,485.350000,730.020000,289.030000,610.870000,526.270000
353.750000,367.060000,258.800000,485.350000,730.010000,288.990000,610.770000,526.300000
353.760000,367.050000,258.800000,485.380000,730.010000,289.000000,611.137143,525.902803
