pt1_cam1_Z,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_Z,pt2_cam2_X,pt2_cam2_Y
385.673335,570.32278,668.946584,361.864422,859.351184,726.999285
385.97,569.86,668.93,362.01,858.301794,727.221348
385.94,569.61,668.91,362.01,858.301794,727.221348
385.94,569.14,669,362.01,858.301794,727.221348
386.02,568.99,668.92,362.02,858.001969,727.443412
386,568.85,668.84,362.04,858.001969,727.665475
385.98,568.58,668.81,362.02,857.852056,727.887538
385.96,568.15,668.87,362.02,856.652754,727.887538
386.06,567.99,668.78,362.03,856.203016,727.443412
386.02,567.85,668.65,362.01,856.203016,727.443412
386,567.71,668.47,362.04,855.153626,727.221348
385.97,567.66,668.02,362.04,855.153626,727.221348
386.1,567.26,668.08,362.02,855.153626,727.221348
386.07,567.02,668.01,362.01,855.08,726.86
386.05,566.89,667.93,362,854.404062,726.111032
386.02,566.69,667.85,362,854.07,725.79
386.01,566.28,667.89,362.02,853.87,725.23
386.13,566.02,667.85,362.02,853.98,724.98
386.09,565.89,667.71,362.02,853.88,724.42
386.06,565.75,667.52,362.02,853.93,723.97
386.05,565.74,667.01,362,853.86,723.34
386.19,565.33,667.05,362.01,853.84,722.74
386.17,565.05,667,362.01,853.86,722.13
386.14,564.92,666.89,362.03,853.85,721.47
386.12,564.74,666.79,362.01,853.81,720.68
386.11,564.35,666.82,362,853.84,719.94
386.25,564.05,666.78,362,853.83,719.17
386.21,563.92,666.62,362.01,853.76,718.33
386.17,563.96,666.02,362.02,853.8,717.7
386.16,563.79,665.92,362,853.87,717.03
386.14,563.37,665.94,361.99,853.81,716.23
386.3,563.06,665.89,362.01,853.68,715.4
386.26,562.93,665.76,362.01,853.86,714.98
386.22,562.81,665.55,362.01,853.84,714.2
386.22,562.82,665,362,853.84,713.4
386.37,562.47,664.99,361.99,853.79,712.64
386.34,562.1,664.96,361.99,853.86,711.86
386.28,561.96,664.85,362,853.85,711.06
386.25,561.81,664.71,361.99,853.8,710.27
386.24,561.48,664.66,362,851.898084,705.471841
386.23,561.08,664.65,362,850.3,702.84
386.42,560.99,664.36,361.99,851.6982,701.918828
