pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
255.106548,512.620156,175.804571,562.682592,806.510117,560.219203,670.745075,563.063801
254.990000,513.010000,175.970000,563.000000,807.000000,560.010000,670.980000,562.960000
254.970000,513.020000,175.940000,562.990000,807.000000,560.000000,670.930000,562.880000
254.950000,513.040000,175.900000,562.990000,806.990000,559.990000,669.544418,562.352396
254.910000,513.070000,175.850000,562.990000,806.970000,559.980000,669.304287,559.506776
254.900000,513.080000,175.800000,562.990000,806.980000,559.980000,669.304287,559.506776
254.890000,513.100000,175.710000,563.000000,807.010000,559.970000,669.304287,561.996694
254.850000,513.140000,175.600000,562.980000,806.990000,559.960000,669.304287,561.996694
254.810000,513.160000,175.480000,562.960000,807.020000,559.940000,669.064156,560.573884
254.810000,513.160000,175.280000,562.960000,806.950000,559.970000,668.970000,560.880000
254.780000,513.220000,175.220000,562.960000,806.980000,559.940000,669.064156,560.573884
254.730000,513.220000,175.150000,562.970000,806.990000,559.950000,668.970000,560.860000
254.680000,513.270000,175.100000,562.980000,806.990000,559.970000,668.910000,560.800000
254.700000,513.230000,175.060000,562.980000,806.960000,560.000000,667.863499,558.439669
254.680000,513.260000,175.030000,562.990000,807.010000,559.970000,667.863499,558.439669
254.640000,513.300000,174.980000,562.990000,807.000000,559.930000,667.940000,557.960000
254.680000,513.240000,174.940000,562.990000,806.990000,559.970000,667.863499,558.439669
254.140000,513.680000,174.900000,563.000000,806.960000,559.960000,667.863499,558.439669
253.660000,514.140000,174.830000,563.000000,807.010000,559.990000,666.662843,558.439669
253.090000,514.720000,174.740000,563.010000,806.980000,560.000000,666.662843,558.439669
253.050000,514.740000,174.600000,563.020000,806.980000,559.950000,666.662843,558.439669
253.030000,514.750000,174.330000,563.010000,807.000000,559.980000,666.662843,558.439669
252.940000,514.810000,174.230000,563.010000,807.030000,559.990000,666.662843,558.439669
252.920000,514.820000,174.150000,563.020000,807.020000,559.950000,665.942449,559.506776
252.870000,514.820000,174.080000,563.040000,807.010000,559.990000,665.942449,559.506776
252.810000,514.880000,174.040000,563.050000,807.040000,559.980000,665.942449,559.506776
252.740000,514.880000,174.000000,563.060000,806.980000,559.990000,664.261530,558.795371
252.670000,514.910000,173.970000,563.070000,802.912211,560.219203,664.261530,558.795371
252.590000,514.920000,173.910000,563.070000,802.940000,559.980000,664.261530,558.795371
252.490000,514.920000,173.840000,563.080000,803.000000,559.910000,664.021399,558.439669
252.110000,515.040000,173.720000,563.110000,803.010000,559.950000,663.930000,557.950000
252.020000,515.050000,173.540000,563.120000,803.020000,559.930000,664.021399,557.728264
251.970000,515.090000,173.280000,563.130000,803.030000,559.940000,663.890000,557.920000
251.930000,515.100000,173.160000,563.130000,803.000000,559.890000,663.060873,554.171239
251.870000,515.100000,173.100000,563.130000,803.030000,559.900000,662.940000,553.960000
251.810000,515.100000,173.050000,563.150000,803.050000,559.930000,662.890000,553.890000
251.770000,515.100000,173.000000,563.190000,802.990000,559.890000,663.060873,554.171239
251.600000,515.160000,172.940000,563.190000,803.050000,559.880000,662.890000,553.970000
251.160000,515.300000,172.870000,563.210000,803.020000,559.890000,662.790000,553.950000
251.090000,515.360000,172.750000,563.240000,799.614129,550.448417,660.419429,554.171239
251.030000,515.370000,172.570000,563.270000,799.314304,552.224924,660.179298,554.171239
250.980000,515.420000,172.300000,563.310000,799.020000,551.990000,659.930000,553.970000
250.900000,515.370000,172.190000,563.310000,798.990000,552.000000,659.860000,553.950000
250.840000,515.380000,172.110000,563.350000,799.000000,551.980000,660.179298,554.171239
250.730000,515.450000,172.060000,563.350000,798.980000,551.950000,659.940000,553.960000
250.420000,515.950000,172.010000,563.390000,799.020000,551.890000,659.870000,553.940000
250.050000,516.060000,171.940000,563.400000,798.115001,555.333810,658.978641,554.171239
250.000000,516.050000,171.860000,563.440000,797.940000,554.980000,658.978641,554.171239
249.930000,516.040000,171.720000,563.470000,797.980000,554.960000,658.978641,554.171239
249.870000,516.040000,171.440000,563.830000,798.020000,554.920000,658.978641,554.171239
249.740000,516.100000,171.230000,563.850000,798.030000,554.840000,658.978641,554.171239
249.670000,516.090000,171.120000,563.880000,798.060000,554.810000,657.537854,553.815536
249.630000,516.070000,171.060000,563.920000,798.020000,554.840000,657.537854,553.815536
249.370000,516.140000,170.990000,563.960000,796.615874,554.445557,657.537854,553.815536
249.030000,516.220000,170.930000,563.980000,796.970000,553.930000,657.537854,553.815536
248.960000,516.230000,170.820000,563.990000,797.050000,553.930000,658.020000,554.050000
248.850000,516.240000,170.650000,564.030000,797.060000,553.910000,658.060000,554.080000
248.830000,516.220000,170.310000,564.050000,797.050000,553.870000,658.060000,554.100000
248.740000,516.250000,170.180000,564.090000,796.615874,554.445557,658.050000,554.090000
248.610000,516.270000,170.100000,564.110000,796.950000,553.980000,658.040000,554.080000
248.150000,516.410000,170.040000,564.130000,797.000000,553.980000,658.040000,554.090000
247.950000,516.870000,169.990000,564.180000,797.010000,553.910000,656.577328,553.815536
247.830000,516.890000,169.920000,564.210000,797.020000,553.950000,656.577328,553.815536
247.800000,516.900000,169.820000,564.250000,797.000000,553.900000,656.337197,554.171239
247.680000,516.920000,169.650000,564.280000,795.716397,554.445557,656.040000,554.080000
