pt1_cam1_Z,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_Z,pt2_cam2_X,pt2_cam2_Y
318.61,432.96,500.84,319.2,782.427158,499.092527
318.48,432.9,500.78,318.91,782.29,497.52
318.09,432.83,500.72,318.86,783.436959,496.599526
318.05,432.81,500.61,319.1,784.446759,493.109324
318.03,432.82,500.39,319.04,784.94,491.91
317.99,432.91,499.95,318.98,785.9,490.81
317.95,432.85,499.89,318.95,786.95,489.92
317.92,432.77,499.83,318.91,787.92,488.97
317.89,432.68,499.77,318.89,784.783359,483.137319
317.84,432.61,499.72,318.86,785.119959,482.140119
317.79,432.48,499.67,318.84,785.03,480.54
317.77,432.2,499.71,318.83,784.98,479.06
317.73,432.16,499.64,318.81,785.08,477.76
317.68,432.11,499.51,318.8,784.95,476.24
317.66,432.33,498.91,318.78,784.99,475.01
317.59,432.73,498.12,318.77,785.05,473.86
317.56,432.89,497.73,318.76,785.06,472.74
317.76,432.86,497.62,318.78,785.03,471.66
317.93,432.84,497.54,318.74,785.01,470.69
317.91,432.81,497.45,318.8,784.99,469.82
317.9,432.8,497.32,318.74,783.773559,465.686311
317.88,432.79,497.24,318.82,783.773559,465.187711
317.87,432.76,497.17,318.79,782.763758,464.68911
317.85,432.73,497.14,318.84,782.090558,463.19331
317.82,432.7,497.11,318.87,779.734357,461.697509
317.85,432.69,497.1,318.88,780.407557,461.697509
317.82,432.68,497.09,318.87,781.080757,461.198909
317.82,432.64,497.1,318.9,778.387956,457.708707
317.8,432.65,497.09,318.9,779.397757,457.708707
317.81,432.65,497.1,318.9,779.397757,457.708707
317.81,432.64,497.14,318.89,778.9,457.94
317.82,432.63,497.18,318.91,778.61,457.94
317.81,432.62,497.25,318.91,777.81,458.12
317.82,432.6,497.36,318.89,777.03,458.27
317.82,432.59,497.48,318.91,776.26,458.56
317.84,432.31,498.07,318.92,775.63,458.79
317.85,431.96,498.79,318.92,775.4,458.94
317.85,431.98,498.87,318.95,775.24,459.12
317.85,432.02,498.95,318.99,775.02,459.42
317.86,432.06,499.05,319.02,774.79,459.87
317.85,432.1,499.16,319.06,774.64,460.04
317.9,432.1,499.37,319.14,771.992553,463.19331
317.9,431.94,499.99,319.18,771.02,464.05
317.91,431.68,500.77,320.96,770.47,464.46
317.94,431.13,501.71,322.68,769.972952,466.184911
317.97,431.08,502.15,324.64,769.48,468.02
318,431.11,502.34,326.95,769.26,470.32
318.01,431.06,502.68,327.44,773.338954,476.156916
318.04,431.1,502.84,327.61,775.2,476.44
318.06,431.18,502.94,327.64,776.58,477.72
318.1,431.25,503.03,327.77,777.78,479.4
318.13,431.32,503.17,327.89,778.81,481.33
318.15,431.33,503.39,327.85,779.81,483.37
318.19,431.12,504.09,328.04,780.71,485.53
318.22,430.9,504.88,328.07,781.21,488.04
318.25,430.74,505.5,328.17,781.21,490.88
318.28,430.69,505.78,328.27,780.81,493.72
318.26,430.75,505.91,328.41,780.82,496.2
318.32,430.8,506.01,329.05,780.91,498.51
318.32,430.8,506.15,330.06,780.92,500.93
318.35,430.83,506.3,330.93,781.13,503.24
318.37,430.86,506.39,331.28,781.13,505.66
318.38,430.93,506.48,331.48,781.73,507.67
318.42,430.58,507.33,331.46,782.33,509.39
318.45,430.12,508.17,330.99,783.09,510.86
318.52,429.9,508.92,331.03,783.87,512.05
319,429.65,509.63,331.02,778.387956,522.526738
319.02,429.38,509.9,331.01,782.090558,524.521139
319.01,429.44,509.96,331,782.03,526.71
319.01,429.48,510.02,331.02,781.93,528.31
319.01,429.67,510.03,331.02,781.69,529.83
319.02,429.67,510.1,331.05,781.71,530.98
319.01,429.66,510.21,331.06,781.72,532.04
319.02,429.66,510.29,331.06,781.82,533.07
318.98,429.67,510.33,331.501073,780.343087,531.337999
318.98,429.7,510.33,331.501073,779.8,531.73
318.96,429.74,510.35,331.57,779.27,532.88
318.96,429.74,510.36,331.55,779.02,533.77
318.94,429.77,510.34,331.834168,778.87,534.47
318.93,429.76,510.33,329.835598,778.76,534.96
318.89,429.76,510.31,329.169408,776.752685,538.650803
318.88,429.72,510.34,329.169408,775.22,537.87
318.85,429.73,510.31,328.84,776.39,538.14
318.84,429.412508,511.488826,328.44,777.25,537.87
318.84,428.86,511.31,327.71,778.03,537.14
319.05,428.77,511.05,326.92,777.201486,539.980403
319.34,428.86,511.01,327.837028,777.12,539.28
320.13,428.8,511,327.86,777.2,538.14
320.91,428.74,511.01,327.67,777.18,536.99
321.53,428.62,511.02,332.167263,777.16,536.07
321.86,428.51,511.02,333.12,777.17,534.99
321.8,428.12,511.12,334.28,777.21,533.53
321.7,428.06,511.09,334.32,777.3,531.84
321.54,428,511.08,324.506078,777.3,530.03
321.02,427.93,511.06,321.508223,777.25,528.08
320.82,427.85,511.03,320.98,777.22,526.08
320.78,427.73,511.01,320.43,777.26,524.21
320.73,427.57,511,320.26,777.4,522.43
320.72,427.15,511.1,320.29,776.303885,522.695595
320.89,427.07,511.06,320.31,775.99,521.14
320.86,426.98,511.03,320.19,776.21,519.42
320.81,426.88,510.99,320.17,776.35,517.73
320.76,426.78,510.95,318.843463,776.36,515.97
320.73,426.62,510.94,319.45,776.27,514.21
320.66,426.2,511.03,321.508223,776.11,512.56
320.61,426.09,510.99,322.07,776.1,511.24
320.79,425.99,510.95,322.8,776.15,510.07
320.96,425.88,510.91,323.4,776.09,508.82
320.91,425.78,510.84,323.64,776.04,507.46
320.85,425.65,510.79,323.57,775.94,506.09
320.78,425.46,510.8,318.177273,776.03,504.96
320.73,425.11,510.86,316.4,776.11,503.83
320.62,425.04,510.78,314.846324,776.14,502.8
320.44,424.96,510.68,314.78,775.406285,497.433183
320.04,424.92,510.54,314.57,774.95,496.01
319.98,425.03,510,314.43,774.35,494.91
319.93,424.95,509.94,315.845608,774.33,494.1
319.88,424.86,509.87,316.81,774.13,493.22
319.81,424.77,509.8,317.57,778.996686,494.773982
319.75,424.63,509.77,314.846324,781.17,494.96
319.69,424.47,509.75,314.9,780.38,493.88
319.6,424.13,509.81,314.86,779.66,493.11
319.77,424.06,509.75,314.93,778.79,492.23
319.92,424,509.66,314.92,778.02,491.56
319.88,423.92,509.61,314.91,777.29,491
319.81,423.88,509.53,314.91,777.15,490.44
319.73,424.05,508.97,314.91,777.11,490.16
319.61,423.98,508.94,314.91,777.11,490.03
319.11,423.93,508.91,314.91,777.1,489.91
319.07,423.87,508.89,314.92,777.06,489.77
319.03,423.83,508.87,314.92,777.06,489.65
319.01,423.79,508.86,314.92,777.03,489.58
318.96,423.72,508.86,314.93,777.01,489.37
318.92,423.66,508.86,314.94,777,489.38
318.89,423.6,508.88,314.95,774.957485,485.466777
318.85,423.53,508.92,314.97,774.76,485.07
318.8,423.24,509.04,314.97,774.71,485.2
318.77,423.21,509.07,314.98,775.03,485.33
318.73,423.2,509.09,314.99,774.8,485.75
318.7,423.2,509.11,315.01,774.86,485.97
318.67,423.18,509.14,315.01,774.97,486.22
318.66,423.17,509.2,315.02,774.63,486.85
318.59,423.17,509.26,315.03,774.2,487.39
318.54,423.16,509.38,315.04,773.88,488.05
318.15,423.07,509.62,315.04,766.879081,478.153973
318.15,422.94,510.03,315.04,767.776681,476.824373
318.14,422.96,510.08,315.05,766.879081,478.818774
318.13,422.98,510.15,315.05,765.08388,482.807576
318.14,423.01,510.24,315.06,766.879081,484.137176
318.14,422.99,510.41,315.07,767.61,485.03
318.16,422.74,511.02,315.08,767.93,486.21
318.16,422.34,511.78,315.09,767.87,487.88
318.15,422.14,511.96,315.1,768.07,489.39
318.15,422.18,512.02,315.09,767.99,491.18
318.16,422.2,512.09,315.1,767.98,493
318.15,422.23,512.16,315.1,767.98,494.82
318.14,422.24,512.27,315.09,768.674281,498.097983
318.15,422.19,512.5,315.09,768.99,499.87
318.44,422.03,513.04,315.09,771.367083,504.081186
319.06,421.86,513.66,315.08,770.918283,508.734788
319.71,421.87,513.8,315.07,770.918283,508.734788
319.72,421.9,513.91,315.06,771.367083,509.399589
319.74,421.92,513.99,315.05,770.918283,514.053191
319.75,421.96,514.07,315.06,770.469482,514.053191
319.77,421.99,514.14,315.06,770.469482,516.047592
319.78,422.02,514.24,315.06,770.469482,519.371593
319.82,422.04,514.36,315.05,770.469482,519.371593
319.83,421.99,514.6,315.07,770.09,520.35
319.85,421.86,515.07,315.07,770.06,521.79
319.87,421.9,515.14,315.06,770.09,523.12
319.9,421.94,515.21,315.06,774.957485,526.019597
319.91,421.97,515.28,315.07,775.66,527.06
319.91,421.96,515.43,315.06,776.39,528.04
319.92,421.7,516.04,315.06,776.84,529.08
319.92,421.14,516.9,315.06,777.03,530.19
319.91,420.94,517.59,315.07,774.957485,533.9972
319.91,420.96,517.6,325.172268,774.71,535.18
319.93,420.99,517.66,325.505363,774.57,536.2
319.93,421.01,517.73,325.65,774.51,537.08
319.94,421.03,517.8,325.23,774.41,538.03
319.93,421.06,517.88,326.504648,774.19,538.97
319.95,421.07,517.93,327.23,774.12,539.82
319.95,421.09,517.97,328.2,774.23,540.39
319.95,421.12,518.01,326.837743,774.15,541.03
319.95,421.14,518.05,325.51,774.14,541.79
319.96,421.17,518.09,326.504648,774.26,542.33
319.97,421.18,518.13,326.98,774.21,543
319.97,421.22,518.13,326.96,774.41,543.67
319.96,421.24,518.14,326.93,775.07,544.01
319.95,421.26,518.17,326.91,776.53,544.06
319.96,421.27,518.18,326.88,778.35,543.91
319.93,421.29,518.2,326.85,774.059884,545.963606
319.92,421.3,518.21,326.81,773.84,546.12
319.9,421.3,518.21,326.78,773.71,546.34
319.89,421.3,518.21,326.75,773.65,546.35
319.89,421.32,518.21,326.74,773.85,546.12
319.88,421.31,518.22,326.72,773.86,546
319.86,421.33,518.19,326.71,773.89,545.86
319.85,421.32,518.18,326.72,773.162284,545.963606
319.86,421.31,518.17,325.01,773.15,545.76
319.85,421.32,518.14,323.9,773.14,545.17
319.82,421.31,518.12,323.05,773.23,544.41
319.78,421.31,518.08,322.41,771.815883,545.298806
319.81,421.3,518.05,322.32,771.36,544
319.79,421.26,518.01,322.2,771.38,543.03
319.77,421.26,517.96,324.839173,771.34,541.91
319.76,421.23,517.94,322.840603,772.713483,543.969205
319.74,421.22,517.9,320.842033,774.02,543.74
319.74,421.18,517.86,320.6,774.87,543.14
319.68,421.16,517.83,320.23,775.83,542.47
319.68,421.14,517.8,320.1,776.77,541.75
319.63,421.1,517.78,319.98,777.8,540.97
319.6,421.05,517.78,319.96,778.75,540.08
319.57,421.03,517.75,319.98,779.67,539.07
319.54,420.97,517.75,320.02,780.63,537.98
319.38,420.92,517.74,322.507508,781.61,536.93
318.96,420.83,517.73,321.508223,782.56,535.87
318.95,421.623371,516.746613,321.78,782.42,534.17
318.94,422.07,516.63,321.85,782.57,532.49
318.93,422.3,516.3,321.77,782.66,530.82
318.92,422.32,516.16,321.69,782.63,529.08
318.9,422.16,516.11,321.6,782.64,527.49
318.89,422.16,516.03,321.51,782.68,526.2
318.89,422.13,515.95,321,782.74,524.96
318.87,422.11,515.87,320.94,782.8,523.74
318.85,422.13,515.69,320.87,782.81,522.48
318.83,422.16,515.49,320.73,782.78,520.97
318.81,422.33,514.98,320.65,782.84,519.75
318.79,422.32,514.87,320.62,782.8,518.23
318.79,422.33,514.77,320.6,782.86,516.98
318.76,422.37,514.61,320.67,782.86,515.82
318.76,422.67,513.97,320.68,782.86,514.76
318.75,423.03,513.36,320.71,775.406285,510.064389
318.76,423.04,513.21,320.8,774.508684,508.069988
318.73,423.06,513.08,320.82,775.855085,503.416386
318.74,423.07,513,320.85,775.855085,503.416386
318.72,423.07,512.92,320.78,775.95,502.18
318.24,423.08,512.85,320.79,775.855085,503.416386
317.84,423.09,512.77,320.8,776.752685,502.751585
317.38,423.12,512.69,320.85,776.97,502.29
317.38,423.15,512.6,320.92,777.06,501.93
317.37,423.18,512.51,321,777.05,501.36
317.33,423.55,511.95,321.04,777.08,500.96
317.34,423.97,511.41,321.07,777.15,500.71
317.33,424.01,511.37,321.23,777.09,500.18
317.34,424.07,511.32,321.27,777.07,500.05
317.32,424.12,511.31,321.32,777.09,499.98
317.33,424.18,511.33,321.4,777.09,499.97
317.32,424.24,511.35,321.47,771.367083,490.120379
317.17,424.31,511.39,321.95,770.81,490.01
317.2,424.37,511.47,321.94,770.75,490.04
317.22,424.24,511.94,321.96,770.58,490.17
317.22,424.33,511.98,321.99,770.33,490.4
317.26,424.43,512.02,322.04,770,490.82
317.28,424.76,512,322.09,769.7,490.95
317.28,424.85,512.07,322.14,769.05,491.06
317.31,424.92,512.16,322.21,769.123082,491.44998
317.32,424.95,512.31,322.3,769.05,491.49
317.34,424.96,512.58,323.8,769.05,491.74
317.35,424.91,513.03,325.04,768.99,491.94
317.39,424.97,513.16,325.89,766.43028,495.438782
317.4,425,513.36,326.55,764.58,498.04
317.41,424.9,513.96,326.68,763.72,501.08
317.45,424.97,514.08,326.79,763.14,504.04
317.49,425.01,514.29,326.89,762.49,507.08
