pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
278.874267,389.268062,181.270997,684.091934,641.463247,382.734876,525.045603,713.077853
278.970000,388.950000,180.950000,683.950000,641.020000,383.010000,526.126194,711.743969
278.920000,388.900000,180.890000,683.890000,641.030000,383.030000,526.126194,711.477192
278.860000,388.840000,180.830000,683.840000,641.020000,382.990000,526.800000,710.300000
278.830000,388.770000,180.750000,683.790000,641.060000,382.970000,527.090000,709.450000
278.760000,388.720000,180.600000,683.850000,640.990000,383.020000,527.850000,708.730000
278.740000,388.650000,180.300000,683.960000,640.990000,382.980000,528.030000,707.800000
278.660000,388.550000,180.190000,683.930000,640.980000,383.010000,528.770000,707.110000
278.830000,388.020000,180.110000,683.880000,640.960000,383.020000,528.860000,706.010000
278.780000,387.960000,180.060000,683.830000,640.990000,383.010000,528.930000,704.880000
278.700000,387.900000,180.010000,683.760000,641.030000,383.010000,529.010000,703.810000
278.650000,387.860000,179.970000,683.680000,641.000000,383.030000,529.040000,702.780000
278.580000,387.820000,179.930000,683.600000,641.000000,383.040000,529.070000,701.780000
278.430000,387.790000,179.920000,683.470000,641.020000,383.020000,529.120000,700.810000
277.890000,387.920000,179.980000,683.080000,641.040000,383.050000,529.160000,699.830000
277.160000,388.090000,179.920000,683.050000,639.542197,379.177851,526.126194,695.737356
276.550000,388.260000,179.860000,683.020000,641.703379,379.889256,526.666489,694.937025
276.450000,388.190000,179.760000,683.020000,641.223116,377.399339,527.206785,694.403472
276.380000,388.150000,179.630000,683.040000,641.080000,376.960000,527.386883,692.536033
276.310000,388.080000,179.470000,683.090000,640.982985,378.466446,528.107277,691.468926
276.260000,388.020000,179.220000,683.240000,640.980000,378.040000,528.287376,691.202149
276.180000,387.960000,179.160000,683.220000,638.821803,378.822149,528.780000,690.740000
276.140000,387.890000,179.110000,683.220000,638.980000,379.020000,528.870000,689.990000
276.090000,387.820000,179.070000,683.190000,638.581672,375.265124,528.680000,689.150000
276.030000,387.740000,179.020000,683.160000,638.341541,375.620826,527.206785,686.400165
275.990000,387.650000,178.960000,683.140000,638.050000,375.940000,526.260000,685.130000
275.940000,387.530000,178.910000,683.120000,638.040000,375.970000,527.386883,685.866612
276.030000,386.990000,178.840000,683.110000,637.980000,375.980000,527.430000,685.830000
275.980000,386.920000,178.760000,683.110000,637.980000,375.960000,527.400000,685.510000
275.910000,386.870000,178.630000,683.150000,637.960000,375.990000,526.980000,685.070000
275.850000,386.780000,178.310000,683.460000,638.341541,375.620826,527.386883,682.665289
275.790000,386.700000,178.030000,683.940000,637.990000,375.940000,527.330000,682.960000
275.720000,386.610000,177.990000,683.940000,637.970000,375.990000,527.040000,683.000000
275.660000,386.500000,177.940000,683.940000,637.970000,376.000000,527.080000,683.100000
275.790000,385.950000,177.880000,683.930000,638.000000,375.990000,525.765997,682.398512
275.950000,385.320000,177.800000,683.960000,638.000000,375.990000,525.870000,682.160000
275.900000,385.230000,177.690000,683.980000,638.010000,376.010000,526.040000,682.380000
275.850000,385.160000,177.540000,684.050000,637.940000,376.020000,525.990000,682.600000
275.770000,385.060000,177.250000,684.230000,638.020000,376.000000,525.765997,682.398512
275.690000,385.000000,177.180000,684.240000,638.050000,376.030000,526.100000,682.480000
275.650000,384.940000,177.130000,684.250000,637.960000,376.040000,526.030000,683.530000
275.520000,384.890000,177.080000,684.250000,638.010000,376.010000,525.950000,684.710000
274.830000,385.000000,177.040000,684.250000,638.000000,376.010000,525.930000,685.840000
274.070000,385.130000,176.990000,684.250000,637.990000,376.020000,525.950000,686.850000
273.330000,385.250000,176.950000,684.270000,637.980000,376.020000,525.980000,687.880000
273.260000,385.180000,176.910000,684.270000,638.030000,376.040000,526.010000,688.910000
273.200000,385.120000,176.880000,684.250000,638.010000,376.060000,526.030000,689.960000
273.140000,385.060000,176.830000,684.240000,638.000000,376.030000,526.080000,691.010000
273.090000,385.010000,176.780000,684.250000,638.010000,376.020000,523.424717,692.536033
273.030000,384.970000,176.230000,684.930000,638.020000,376.030000,523.244619,693.603141
272.980000,384.910000,176.080000,685.160000,638.000000,376.020000,523.244619,693.603141
272.940000,384.860000,176.030000,685.180000,634.979702,379.889256,523.424717,696.270910
