pt1_cam1_Z,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_Z,pt2_cam2_X,pt2_cam2_Y
331.76,532.67,453.55,301.681924,831.441267,455.647838
331.74,532.6,453.51,301.681924,829.22,454.98
331.71,532.8,453.04,302.01,830.53142,454.300097
331.744218,532.73,453.03,302,831.09,453.9
331.97,532.66,453.03,301.681924,831.79,453.83
331.95,532.6,453.02,301.99,831.87,453.71
331.92,532.53,453,302.02,830.758882,452.952357
331.9,532.17,453.08,302.04,830.15,452.42
331.88,532.14,453.05,302.01,829.38,451.98
331.84,532.1,453.01,301.681924,829.69,451.87
331.82,532.06,452.99,301.681924,830.29,451.81
331.81,532.02,452.95,302.01,830.98,451.77
331.79,531.98,452.93,302.02,831.73,451.82
331.78,531.94,452.92,301.98,829.849035,450.256875
331.75,531.91,452.9,301.99,829.14,449.43
331.74,531.85,452.89,302,828.36,449.02
331.73,531.8,452.86,301.99,828.52,448.97
331.72,531.75,452.85,301.99,828.69,448.87
331.71,531.69,452.84,302.01,829.21,448.82
331.76,531.6,452.81,302.01,829.96,448.82
331.96,531.49,452.84,302.02,830.82,448.95
331.93,531.18,452.89,302.01,829.849035,445.876718
331.91,531.15,452.86,301.99,828.99,445.32
331.88,531.11,452.83,300.419842,828.27,444.94
331.85,531.08,452.79,300.419842,828.48,444.9
331.82,531.05,452.75,300.419842,828.71,444.89
331.8,531.02,452.73,300.419842,829.21,444.85
331.79,531,452.7,300.01,829.96,444.88
331.78,530.96,452.64,299.99,830.75,444.97
331.75,530.91,452.63,299.99,831.69,445.16
331.744218,530.89,452.59,299.95,826.892033,441.833495
331.98,530.85,452.55,300.419842,826.79,441.86
331.95,530.8,452.49,300.02,826.29,441.34
331.94,530.94,452.08,300.419842,826.41,441.12
331.91,530.89,452.05,300.735363,826.53,441.04
331.9,530.84,452.03,300.735363,827,441
331.87,530.79,452.02,301,827.04,440.91
331.85,530.75,452.02,300.735363,827.04,440.71
331.82,530.71,452.01,301.01,826.87,440.37
331.8,530.64,452.01,301.01,826.81,440.14
331.79,530.6,452,301.050883,826.79,440.04
331.77,530.53,451.99,301.01,826.81,439.97
331.76,530.17,452.09,301.050883,826.83,439.87
331.74,530.13,452.07,301.050883,826.85,439.72
331.72,530.1,452.05,301.01,826.89,439.66
331.71,530.08,452.02,301.050883,826.59,439.31
331.7,530.04,452,301,826.31,439.11
331.459267,530.01,452,300.99,826.25,438.99
330.99,529.99,451.98,300.98,826.31,438.87
330.97,529.95,451.96,300.99,826.28,438.87
330.95,529.91,451.96,301.02,826.31,438.85
330.93,529.88,451.94,300.98,826.34,438.84
330.93,529.84,451.94,300.99,826.47,438.83
330.91,529.78,451.93,300.96,824.844879,437.453338
330.9,529.72,451.92,300.97,824.79,436.94
330.87,529.67,451.93,300.96,824.7,436.94
