pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
701.075635,385.673335,570.322780,668.946584,995.153042,361.864422,859.351184,726.999285
700.860000,385.970000,569.860000,668.930000,995.030000,362.010000,858.301794,727.221348
700.730000,385.940000,569.610000,668.910000,995.010000,362.010000,858.301794,727.221348
700.530000,385.940000,569.140000,669.000000,995.010000,362.010000,858.301794,727.221348
700.030000,386.020000,568.990000,668.920000,994.980000,362.020000,858.001969,727.443412
699.900000,386.000000,568.850000,668.840000,994.980000,362.040000,858.001969,727.665475
699.750000,385.980000,568.580000,668.810000,994.960000,362.020000,857.852056,727.887538
699.570000,385.960000,568.150000,668.870000,995.000000,362.020000,856.652754,727.887538
699.050000,386.060000,567.990000,668.780000,994.970000,362.030000,856.203016,727.443412
698.930000,386.020000,567.850000,668.650000,994.990000,362.010000,856.203016,727.443412
698.790000,386.000000,567.710000,668.470000,994.970000,362.040000,855.153626,727.221348
698.630000,385.970000,567.660000,668.020000,995.010000,362.040000,855.153626,727.221348
698.070000,386.100000,567.260000,668.080000,994.990000,362.020000,855.153626,727.221348
697.970000,386.070000,567.020000,668.010000,995.030000,362.010000,855.080000,726.860000
697.840000,386.050000,566.890000,667.930000,994.970000,362.000000,854.404062,726.111032
697.700000,386.020000,566.690000,667.850000,995.010000,362.000000,854.070000,725.790000
697.530000,386.010000,566.280000,667.890000,995.010000,362.020000,853.870000,725.230000
697.010000,386.130000,566.020000,667.850000,995.000000,362.020000,853.980000,724.980000
696.890000,386.090000,565.890000,667.710000,995.000000,362.020000,853.880000,724.420000
696.760000,386.060000,565.750000,667.520000,995.010000,362.020000,853.930000,723.970000
696.600000,386.050000,565.740000,667.010000,995.030000,362.000000,853.860000,723.340000
696.070000,386.190000,565.330000,667.050000,995.000000,362.010000,853.840000,722.740000
695.950000,386.170000,565.050000,667.000000,995.010000,362.010000,853.860000,722.130000
695.830000,386.140000,564.920000,666.890000,995.040000,362.030000,853.850000,721.470000
695.700000,386.120000,564.740000,666.790000,995.040000,362.010000,853.810000,720.680000
695.550000,386.110000,564.350000,666.820000,995.020000,362.000000,853.840000,719.940000
695.020000,386.250000,564.050000,666.780000,995.050000,362.000000,853.830000,719.170000
694.900000,386.210000,563.920000,666.620000,995.020000,362.010000,853.760000,718.330000
694.800000,386.170000,563.960000,666.020000,995.030000,362.020000,853.800000,717.700000
694.670000,386.160000,563.790000,665.920000,995.060000,362.000000,853.870000,717.030000
694.530000,386.140000,563.370000,665.940000,995.050000,361.990000,853.810000,716.230000
693.990000,386.300000,563.060000,665.890000,995.050000,362.010000,853.680000,715.400000
693.890000,386.260000,562.930000,665.760000,995.040000,362.010000,853.860000,714.980000
693.790000,386.220000,562.810000,665.550000,995.020000,362.010000,853.840000,714.200000
693.610000,386.220000,562.820000,665.000000,995.040000,362.000000,853.840000,713.400000
693.070000,386.370000,562.470000,664.990000,995.050000,361.990000,853.790000,712.640000
692.970000,386.340000,562.100000,664.960000,995.040000,361.990000,853.860000,711.860000
692.880000,386.280000,561.960000,664.850000,995.060000,362.000000,853.850000,711.060000
692.770000,386.250000,561.810000,664.710000,995.030000,361.990000,853.800000,710.270000
692.640000,386.240000,561.480000,664.660000,995.030000,362.000000,851.898084,705.471841
692.530000,386.230000,561.080000,664.650000,995.050000,362.000000,850.300000,702.840000
