pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
704.39,329.88,575.94,699.77,1012.67,299.86,868.17,689.19
703.76,329.84,575.08,700.00,1011.40,298.61,868.02,688.63
701.80,329.56,574.13,700.01,1010.98,298.61,867.92,688.14
700.28,329.56,573.16,700.02,1007.61,298.30,867.80,687.61
700.21,329.56,572.26,700.03,1007.61,298.30,867.55,686.95
699.06,330.04,571.34,700.03,1005.51,298.30,866.64,685.98
698.41,329.56,570.42,700.02,1005.08,298.30,865.59,684.99
697.00,330.01,569.54,700.01,1000.87,297.99,864.50,684.05
696.01,330.03,568.68,699.99,998.98,297.99,862.70,682.84
695.03,330.10,567.80,699.98,997.08,298.61,860.92,681.72
694.04,330.15,566.90,699.98,995.82,298.93,859.11,680.63
693.06,330.21,565.96,700.00,995.61,298.61,857.32,679.57
692.42,329.99,565.04,700.00,993.50,297.68,856.27,678.84
691.12,329.66,564.12,700.01,993.50,297.68,855.16,678.05
690.69,329.77,563.19,700.03,993.29,297.68,854.07,677.42
690.04,330.03,562.27,700.03,992.24,297.68,853.13,677.01
689.03,330.09,561.36,700.04,992.03,298.30,852.22,676.75
688.06,330.15,560.51,700.02,991.19,298.61,851.03,676.07
687.09,330.21,559.70,700.00,989.92,298.61,850.12,675.85
686.22,330.52,558.79,700.00,988.03,298.61,849.19,675.56
685.04,331.04,557.90,700.01,987.61,298.61,848.10,675.06
683.96,331.58,556.98,700.03,986.55,298.93,847.17,674.89
682.96,331.69,556.07,700.05,985.29,299.24,846.13,674.74
681.99,331.75,555.17,700.05,984.03,299.86,845.30,674.66
681.01,331.82,554.27,700.06,984.03,299.86,844.36,674.56
680.03,331.89,553.39,700.06,981.92,299.86,843.43,674.74
679.06,331.96,552.63,700.02,981.29,300.49,842.97,674.47
678.11,332.00,551.74,700.03,981.29,300.49,842.16,674.68
677.13,332.08,550.86,700.05,980.24,300.49,841.09,674.27
676.17,332.14,549.97,700.06,978.55,302.36,840.25,674.79
675.21,332.18,549.06,700.08,977.29,302.36,839.14,674.47
674.24,332.28,548.16,700.08,976.24,301.73,838.21,674.95
673.30,332.36,547.29,700.08,974.97,302.05,836.38,672.57
672.33,332.45,546.43,700.07,972.66,303.61,835.22,673.12
671.23,333.00,545.70,700.02,972.66,303.61,833.98,673.56
670.27,333.08,544.85,700.01,973.08,303.61,833.02,673.89
669.28,333.11,543.98,700.02,971.60,302.98,832.17,674.05
668.31,333.15,543.09,700.01,972.02,303.29,832.64,676.73
667.35,333.21,542.19,700.01,972.02,303.29,832.95,677.07
666.34,333.24,541.32,700.03,972.23,303.29,832.90,677.06
665.40,333.28,540.56,700.02,972.23,303.29,832.83,677.04
665.64,332.66,539.75,700.00,970.13,303.61,832.80,677.01
665.90,332.36,538.86,700.00,970.13,303.61,832.76,676.96
665.73,332.12,537.98,700.03,970.13,303.61,827.50,676.73
662.89,332.77,537.10,700.05,970.13,303.61,827.97,676.03
661.64,332.63,536.25,700.05,967.60,303.92,826.10,676.03
660.87,332.77,535.47,700.04,967.39,304.23,826.10,676.03
660.08,333.07,534.74,700.00,965.29,305.79,826.17,676.13
659.12,333.17,533.84,700.02,965.29,305.79,826.31,676.35
658.14,333.29,532.96,700.03,964.65,306.41,826.04,677.05
657.19,333.32,532.09,700.03,964.23,307.97,825.62,677.90
656.24,333.42,531.19,700.02,962.13,307.97,824.81,678.92
655.14,334.01,530.34,700.04,962.13,307.97,823.93,679.96
654.20,334.10,529.60,700.01,961.49,307.97,823.07,681.02
653.27,334.20,528.82,700.01,960.23,307.97,822.18,682.09
652.31,334.29,527.96,699.99,960.02,307.97,820.96,684.34
652.41,333.91,527.07,700.01,959.81,308.60,819.27,685.74
651.79,333.82,526.24,700.04,958.55,309.22,817.98,686.88
650.85,333.90,525.45,700.04,957.07,309.84,817.03,687.89
649.92,333.99,524.68,700.00,956.44,310.16,816.04,688.86
