pt1_cam1_Z,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_Z,pt2_cam2_X,pt2_cam2_Y
415.765801,528.348432,423.168972,387.812634,817.625342,435.078848
415.98,527.96,423.05,388.01,817.269993,435.342035
415.97,527.91,423.11,388.374017,817.092319,438.500269
415.99,527.86,423.19,388.01,817.092319,438.500269
416.03,527.83,423.26,387.624553,816.73697,440.342572
416.11,527.699345,424.130453,388,816.73697,440.342572
416.1,527.96,424.04,387.624553,816.559296,441.921689
416.09,527.86,424.25,388.01,816.559296,441.921689
416.1,527.85,424.18,388.374017,816.026272,445.079922
416.11,527.1945,425.305597,388.02,816.026272,445.079922
416.15,526.95,425.16,390.872229,815.493249,445.869481
416.34,526.94,425.09,391.371872,815.315575,447.185412
416.33,526.91,425.13,391.371872,815.315575,447.185412
416.33,526.86,425.18,391,814.249528,447.448598
416.31,526.79,425.27,391.371872,814.249528,447.448598
416.3,526.329051,425.626091,391.371872,814.071854,447.97497
416.3,525.96,426.04,388.873659,813.361156,450.870018
416.31,525.89,426.08,390.372587,813.361156,450.870018
416.54,525.85,426.12,390.622408,813.361156,450.870018
416.68,525.8,426.17,390.622408,813.361156,451.133204
416.68,525.75,426.23,391.12205,813.005807,451.133204
416.69,525.66,426.33,391.12205,812.117435,452.975507
416.73,525.3,426.72,391.12205,812.117435,452.975507
416.89,524.98,426.98,391.12205,812.117435,452.975507
416.88,524.94,427,391.01,812.117435,452.975507
416.88,524.89,427.02,391.871514,811.584412,456.133741
416.88,524.84,427.05,391.871514,810.518366,456.396927
416.89,524.79,427.06,392.870799,810.518366,456.396927
416.9,524.73,427.09,392.620978,810.518366,456.396927
416.94,524.65,427.13,392.870799,810.518366,456.396927
416.98,524.55,427.18,392.870799,810.441224,457.292429
417.09,524.04,427.57,393.620263,810.520191,457.292429
417.07,523.93,427.8,393.620263,810.204325,457.292429
417.06,523.87,427.81,394.619548,809.809493,457.058486
417.03,523.79,427.83,390.622408,809.809493,457.058486
417.02,523.71,427.86,390.622408,809.493628,457.058486
417.02,523.59,427.9,390.872229,808.624997,457.409401
417.04,523.16,428.06,391.12205,807.6774,456.941514
417.06,523.1,428.06,391.12205,807.6774,456.941514
417.17,523.05,428.05,391.371872,807.282568,456.590599
417.17,523,428.04,391.371872,807.361535,456.590599
417.16,522.94,428.03,391.371872,807.361535,456.590599
417.15,522.89,428.02,391.371872,807.282568,456.122713
417.17,522.83,428,391.371872,806.729803,454.719053
417.2,522.76,427.98,390.872229,806.80877,455.18694
417.23,522.66,427.98,390.872229,807.045669,454.368138
417.27,522.54,427.96,390.872229,807.045669,454.251167
417.46,522.11,428.08,390.872229,807.124635,453.432365
417.63,522.05,428.05,390.622408,806.887736,452.145678
417.65,521.99,428.02,390.622408,806.729803,451.092933
417.65,521.92,427.99,390.622408,806.729803,450.391103
417.66,521.85,427.96,390.622408,806.571871,449.104415
417.69,521.76,427.93,388.623838,806.887736,448.051671
417.83,521.64,427.91,388.623838,807.045669,447.466812
417.8,521.47,427.92,388.623838,806.729803,446.531039
417.79,521.09,428,388.623838,807.440501,445.712238
417.79,521.02,427.96,388.623838,807.756367,445.478295
417.79,520.96,427.9,388.623838,807.282568,443.72372
417.8,520.9,427.85,388.124196,807.673106,443.454132
417.82,520.83,427.77,388.124196,808.199548,442.518359
417.85,520.78,427.67,391.516718,808.936568,441.894511
417.9,520.75,427.53,391.516718,808.620703,441.426624
418.01,520.81,427.14,391.516718,808.725991,440.490851
418.02,520.69,427.08,391.516718,809.08,439.23
418.02,520.53,427.04,391.516718,808.99,438.1
418.03,520.08,427.14,390.036295,808.98,437.17
418.03,520.01,427.07,388.259789,808.725991,436.435835
418.03,519.94,427.01,388.259789,808.725991,435.032175
418.04,519.86,426.93,388.259789,809.252434,434.720251
418.09,519.78,426.86,388.555873,809.252434,432.848705
418.23,519.67,426.79,387.66762,809.147145,431.912932
418.2,519.52,426.77,389.444127,808.936568,430.821197
418.19,519.12,426.85,389.444127,809.041857,430.041386
418.18,519.04,426.75,389.444127,809.357722,428.637726
418.18,518.99,426.61,389.444127,809.673588,429.261575
418.18,519.03,426.21,389.444127,809.778876,428.013878
418.2,518.97,426.11,389.444127,809.778876,426.454256
418.21,518.91,426.02,390.036295,809.673588,426.142332
418.26,518.82,425.94,390.036295,809.989454,425.674445
418.52,518.74,425.86,390.036295,809.95,425.08
418.69,518.64,425.78,390.036295,809.94,424.25
418.7,518.49,425.75,389.740211,809.9,423.35
418.72,518.09,425.81,389.444127,810.05,422.71
418.73,518.04,425.68,390.036295,810.04,421.93
418.74,518,425.52,390.036295,809.95,421.03
418.78,518.04,425.17,390.036295,809.86,420.14
418.94,517.97,425.09,391.220633,809.8,419.31
418.92,517.89,425.01,391.220633,809.94,418.71
418.9,517.82,424.93,391.220633,809.94,417.97
418.89,517.74,424.84,390.628464,809.88,417.11
418.89,517.67,424.75,390.628464,809.88,416.36
418.89,517.52,424.71,388.555873,810.03,415.87
418.9,517.09,424.78,389.148042,809.92,415.1
418.91,517.04,424.65,390.924549,808.805035,413.905236
418.93,517.02,424.47,390.924549,808.15,413.03
418.99,517.03,424.18,390.628464,807.3,412.13
419.1,516.97,424.09,390.628464,807.71,411.8
419.1,516.91,424.01,390.628464,807.98,411.18
419.09,516.83,423.94,389.444127,808.07,410.83
419.09,516.77,423.87,389.444127,807.89,410.06
419.08,516.72,423.79,389.444127,807.96,409.74
419.08,516.63,423.75,391.220633,807.79,409.11
419.08,516.52,423.69,391.220633,807.541572,407.4588
419.07,516.09,423.8,391.220633,807.26,406.22
419.07,516.05,423.69,391.220633,807.26,405.89
419.07,516.01,423.58,391.220633,807.12,405.31
419.22,516.06,423.25,389.740211,807.11,405.01
419.22,516.03,423.17,389.740211,807.11,404.74
419.21,515.99,423.12,389.740211,806.94,404.06
419.2,515.94,423.08,389.740211,806.82,403.67
419.19,515.9,423.03,389.740211,806.68,403.26
419.18,515.86,422.99,389.740211,806.65,402.95
419.17,515.81,422.95,389.740211,806.55,402.81
419.16,515.75,422.88,390.036295,805.97,402.6
419.16,515.69,422.83,390.036295,805.72,401.75
419.18,515.58,422.84,391.220633,805.47,401.35
419.19,515.14,423,391.220633,805.576186,400.388515
419.21,515.08,422.98,391.220633,805.79,399.93
419.4,515.05,422.94,390.924549,805.88,399.56
419.58,515.01,422.91,390.924549,806.02,399.12
419.52,514.98,422.88,390.924549,805.83,399.03
419.51,514.94,422.86,390.628464,805.63,398.99
419.32,514.89,422.84,390.924549,804.96,398.99
419.31,514.86,422.83,390.924549,804.39,399.01
419.29,514.81,422.83,390.924549,804.19,399.01
419.28,514.77,422.82,391.220633,804.1,398.99
