pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
433.535038,769.459167,335.415555,539.878390,986.903560,798.395619,801.042740,563.939747
434.020000,769.010000,335.030000,540.010000,987.060000,798.030000,800.900737,563.519053
434.100000,769.010000,335.070000,540.010000,987.090000,798.030000,800.616730,562.677665
434.130000,769.040000,335.120000,540.020000,987.060000,798.120000,800.616730,562.677665
434.220000,769.040000,335.180000,540.030000,987.030000,798.090000,800.616730,562.677665
434.290000,769.070000,335.230000,540.040000,987.173708,797.195123,800.758733,560.994889
434.360000,769.070000,335.270000,540.050000,987.070000,797.020000,800.616730,561.205236
434.400000,769.100000,335.360000,540.050000,987.090000,796.980000,801.042740,560.574195
434.520000,769.120000,335.430000,540.050000,987.060000,797.060000,801.120000,560.750000
434.910000,769.100000,335.770000,539.960000,987.040000,797.060000,801.010000,560.090000
434.950000,769.100000,335.810000,539.960000,986.093117,798.395619,801.468749,559.943154
435.040000,769.170000,335.850000,539.950000,986.010000,798.000000,801.860000,560.020000
435.160000,769.130000,335.900000,539.950000,986.080000,797.990000,801.900000,559.470000
435.300000,769.190000,335.950000,539.950000,986.110000,797.960000,801.970000,558.920000
435.480000,769.180000,335.980000,539.950000,986.070000,797.960000,801.850000,558.160000
435.840000,769.160000,336.030000,539.950000,986.140000,797.970000,801.930000,557.640000
435.860000,769.200000,336.090000,539.970000,986.060000,798.000000,801.940000,557.030000
435.960000,769.230000,336.150000,539.960000,986.110000,798.030000,802.178765,556.156908
436.030000,769.290000,336.210000,539.960000,986.363265,799.195950,802.020000,555.420000
436.110000,769.350000,336.290000,539.950000,986.040000,799.020000,802.100000,554.920000
436.200000,769.340000,336.370000,539.940000,986.050000,799.010000,802.000000,554.150000
436.270000,769.450000,336.470000,539.910000,986.040000,799.010000,802.080000,553.600000
436.170000,769.960000,336.800000,539.770000,986.000000,799.020000,802.070000,552.970000
436.350000,769.930000,336.860000,539.760000,986.000000,799.040000,802.010000,552.280000
436.460000,769.970000,336.910000,539.740000,986.050000,799.010000,802.120000,551.800000
436.750000,769.980000,336.970000,539.770000,986.040000,798.990000,802.020000,551.060000
436.840000,769.970000,337.010000,539.780000,986.120000,799.010000,801.990000,550.420000
436.950000,769.990000,337.050000,539.800000,986.050000,799.020000,802.060000,549.900000
436.990000,770.010000,337.070000,539.820000,986.060000,799.030000,801.980000,549.150000
437.060000,770.010000,337.100000,539.820000,986.070000,799.010000,804.592820,548.374070
437.150000,770.030000,337.120000,539.830000,986.070000,799.040000,807.020000,548.470000
437.230000,770.030000,337.140000,539.850000,986.130000,799.040000,808.890000,548.930000
437.400000,770.030000,337.120000,539.890000,986.090000,798.990000,803.740800,546.270600
437.710000,770.020000,337.140000,539.890000,986.140000,799.050000,802.036762,545.218866
437.850000,770.080000,337.170000,539.910000,986.040000,798.980000,802.888781,544.798172
437.910000,770.080000,337.250000,539.910000,986.010000,798.960000,802.980000,544.380000
437.980000,770.060000,338.428599,538.501454,986.100000,798.980000,803.120000,543.880000
438.060000,770.110000,338.652975,538.216571,986.120000,798.970000,802.990000,543.100000
438.120000,770.090000,339.030000,538.010000,986.090000,798.960000,803.598797,542.694702
438.240000,770.170000,339.070000,538.010000,986.110000,799.000000,804.024807,541.853314
438.370000,770.180000,339.110000,538.020000,986.130000,798.970000,804.592820,542.274008
438.570000,770.160000,339.360526,538.221576,989.064742,801.196776,804.308813,540.380885
438.830000,770.150000,339.488741,538.221576,989.150000,800.950000,804.308813,540.380885
438.880000,770.200000,339.232311,537.968346,989.080000,800.940000,804.592820,540.591232
438.970000,770.190000,339.030000,537.990000,989.060000,800.940000,804.876826,539.539497
439.010000,770.250000,339.050000,538.000000,989.070000,800.930000,804.876826,538.487762
439.080000,770.270000,339.100000,538.000000,989.070000,800.910000,804.876826,538.487762
439.150000,770.270000,339.130000,537.990000,989.090000,800.940000,804.876826,537.646374
439.260000,770.350000,339.190000,538.000000,989.090000,800.940000,804.876826,537.646374
439.340000,770.340000,339.250000,537.990000,989.160000,800.870000,806.171107,538.261969
439.500000,770.390000,339.330000,537.990000,989.230000,800.860000,806.171107,538.012669
439.870000,770.340000,339.390000,537.980000,989.160000,800.820000,806.171107,536.766169
439.920000,770.400000,339.460000,537.980000,991.496071,799.996280,806.171107,536.516869
440.000000,770.440000,339.780000,537.870000,991.020000,799.870000,806.171107,536.516869
440.070000,770.490000,339.840000,537.870000,991.020000,799.980000,806.507708,535.021068
440.000000,770.990000,339.890000,537.890000,990.990000,799.970000,806.507708,535.021068
440.030000,771.000000,339.930000,537.900000,991.040000,799.980000,806.171107,534.522468
440.100000,771.020000,339.990000,537.910000,990.990000,799.950000,806.844308,533.774567
440.230000,771.020000,340.040000,537.920000,991.040000,799.930000,807.060000,533.690000
440.310000,771.030000,340.100000,537.930000,991.000000,799.930000,807.020000,533.200000
440.390000,771.050000,340.170000,537.930000,991.040000,799.930000,807.090000,532.950000
440.550000,771.090000,340.280000,537.930000,991.050000,799.930000,806.002807,532.029466
440.810000,771.040000,340.360000,537.950000,991.050000,799.950000,807.012608,532.029466
440.870000,771.080000,341.070055,537.715117,991.100000,799.910000,807.550000,531.960000
440.910000,771.090000,341.150000,537.990000,991.050000,799.920000,807.670000,531.770000
440.970000,771.130000,341.090000,538.030000,991.060000,799.960000,806.339408,530.035065
441.020000,771.160000,341.120000,538.050000,991.070000,799.910000,805.760000,529.730000
441.080000,771.170000,341.150000,538.090000,991.020000,799.930000,805.380000,529.170000
441.150000,771.230000,341.210000,538.120000,991.040000,799.900000,805.410000,528.980000
441.180000,771.290000,341.240000,538.160000,991.070000,799.910000,806.339408,528.040665
441.280000,771.300000,341.454698,537.525194,991.040000,799.910000,805.497907,528.788565
441.290000,771.380000,341.454698,538.094961,991.060000,799.880000,805.030000,528.910000
441.360000,771.500000,341.060000,538.030000,991.100000,799.920000,805.030000,528.800000
441.300000,771.950000,341.369222,538.158269,991.020000,799.900000,805.030000,528.630000
441.430000,771.960000,341.369222,538.158269,991.010000,799.850000,804.900000,528.180000
441.720000,771.980000,341.070000,538.050000,991.010000,799.840000,804.870000,528.040000
441.770000,772.010000,341.369222,538.158269,990.970000,799.720000,804.760000,527.820000
441.840000,772.050000,341.369222,538.348191,991.000000,799.870000,804.488107,527.292764
441.880000,772.090000,341.711128,538.664728,991.000000,799.880000,803.990000,526.950000
441.970000,772.150000,342.080000,539.070000,990.960000,799.870000,803.970000,526.880000
442.050000,772.160000,341.839342,539.614339,990.970000,799.900000,803.910000,526.840000
442.080000,772.230000,342.090000,540.070000,990.920000,799.850000,803.850000,526.780000
442.170000,772.320000,342.000000,540.720000,990.950000,799.850000,803.790000,526.720000
